S_Log_All_Crisis_Yes,S_Log_Exchange,Date,greece
6.396662,0.4512084,20080421,16.2458497845
6.414855,0.4518826,20080422,15.7381669787
6.432201,0.4524003,20080423,15.230484173
6.446638,0.4527643,20080424,14.2151185614
6.458065,0.4530001,20080425,12.6920701441
6.465965,0.4531297,20080426,10.6613389211
6.46893,0.453181,20080427,13.7074357557
6.474487,0.4531401,20080428,14.4689599643
6.46905,0.4530019,20080429,15.4843255759
6.467606,0.4527154,20080430,16.2458497845
6.466832,0.4522941,20080501,17.0073739932
6.46664,0.4517678,20080502,15.9920083816
6.454393,0.4511618,20080503,12.6920701441
6.432133,0.4505361,20080504,14.9766427701
6.417534,0.4499373,20080505,15.7381669787
6.405503,0.4492513,20080506,17.0073739932
6.398989,0.4485267,20080507,15.9920083816
6.400164,0.4478029,20080508,16.2458497845
6.393317,0.4470869,20080509,14.9766427701
6.367533,0.4463843,20080510,13.1997529499
6.344042,0.4457571,20080511,15.230484173
6.327057,0.4451799,20080512,18.0227396047
6.316936,0.4446218,20080513,16.4996911874
6.3177,0.4441009,20080514,15.9920083816
6.322975,0.443679,20080515,16.4996911874
6.330416,0.4433416,20080516,14.9766427701
6.336543,0.443076,20080517,13.1997529499
6.337167,0.4428229,20080518,15.230484173
6.340258,0.4426794,20080519,16.7535325903
6.345965,0.4426929,20080520,17.261215396
6.356326,0.4427896,20080521,17.0073739932
6.365954,0.4430041,20080522,17.261215396
6.377882,0.443312,20080523,15.9920083816
6.385249,0.4436923,20080524,16.4996911874
6.389728,0.4441276,20080525,19.7996294249
6.395857,0.4445693,20080526,17.5150567989
6.40482,0.4449463,20080527,17.0073739932
6.414312,0.4452021,20080528,16.4996911874
6.424976,0.4453785,20080529,16.2458497845
6.435416,0.4454888,20080530,15.230484173
6.438894,0.4455443,20080531,14.2151185614
6.437913,0.4455487,20080601,17.7688982018
6.440098,0.4454496,20080602,17.5150567989
6.44722,0.445267,20080603,17.0073739932
6.459147,0.4450876,20080604,16.4996911874
6.473619,0.4450218,20080605,15.9920083816
6.491713,0.4450489,20080606,15.7381669787
6.505269,0.4451508,20080607,14.2151185614
6.514205,0.445304,20080608,21.576519245
6.528208,0.4453402,20080609,22.0842020508
6.544778,0.4453386,20080610,25.3841402883
6.56505,0.4452134,20080611,20.0534708277
6.58646,0.4449569,20080612,17.0073739932
6.601872,0.4445966,20080613,14.7228013672
6.614525,0.4441558,20080614,18.5304224105
6.623306,0.4437217,20080615,18.5304224105
6.63222,0.4433276,20080616,15.9920083816
6.640985,0.442959,20080617,15.4843255759
6.651327,0.4426146,20080618,18.0265282823
6.656768,0.4423731,20080619,16.1776535867
6.650215,0.4422172,20080620,14.0976695541
6.640328,0.4421323,20080621,13.8665602172
6.624294,0.4420196,20080622,14.790997565
6.61098,0.4419491,20080623,15.7154349128
6.601919,0.4419002,20080624,15.2532162389
6.59688,0.4419765,20080625,15.0221069019
6.594986,0.4421605,20080626,14.0976695541
6.592179,0.4424298,20080627,13.8665602172
6.586918,0.4427656,20080628,12.2487948585
